,Sumber,Judul Berita,Label
0,Kompas.com,"2 Orang Reaktif Tes Antigen, SMAN 4 Batam Kembali Belajar Daring",Negatif
1,Kompas.com,Akademisi IPB Beri Tips agar Pembelajaran Online Efektif dan Menarik,Positif
2,Kompas.com,Tips Pembelajaran Daring yang Menyenangkan bagi Guru dan Siswa,Positif
3,Kompas.com,Seperti Ini Contoh Pembelajaran Daring yang Menyenangkan,Positif
4,Kompas.com,Kemenkominfo Ajak Orangtua dan Guru Pahami Psikologi Anak Saat Pembelajaran Daring,Positif
5,Kompas.com,"Cakram Literasi, Gim Pembelajaran di Tengah PJJ",Positif
6,Kompas.com,Cara Menghemat Kuota Internet Saat Anak Sedang PJJ dengan Google Meet,Positif
7,Kompas.com,"Siswa dan Mahasiswa, Berikut 6 Tips Sukses Belajar Daring",Positif
8,Kompas.com,"Orangtua Siswa Berharap PTM Terbatas Segera Digelar, Ini Alasannya",Positif
9,Kompas.com,"Para Guru, Mari Tetap Bersyukur di Masa Pembelajaran Daring...",Positif
10,Kompas.com,"Bina Bangsa School: ""Online School"" Jadi Pilihan Pembelajaran Masa Depan",Positif
11,Kompas.com,"Setahun Pembelajaran Daring, Benarkah Terjadi ""Learning Loss""?",Negatif
12,Kompas.com,"Demi WiFi Gratis, Siswi Ini Ikut Sekolah Daring dari Kuburan",Negatif
13,Kompas.com,"Pembelajaran di Surabaya Disiapkan Daring dan Luring, Orangtua Siswa Tak Perlu Khawatir Tak Punya HP",Positif
14,Kompas.com,Sekolah di Kundur Utara Kepri Kembali Terapkan Pembelajaran Daring,Positif
15,Kompas.com,Edufecta Sediakan Platform Pembelajaran Daring untuk Kampus Swasta se-Indonesia,Positif
16,Kompas.com,6 Tips Sukses Belajar Daring bagi Siswa dan Mahasiswa,Positif
17,Kompas.com,"Agar Kuliah Daring Lebih Efektif, Ini 5 Tipsnya",Positif
18,Kompas.com,Pemkot Depok Akan Sediakan Lebih dari 1.600 Titik Wifi Gratis di Setiap RW untuk Belajar Online,Positif
19,Kompas.com,"Agar Anak Tak Depresi Saat Belajar Daring, Begini Saran Kak Seto",Negatif
20,Kompas.com,Hari Guru Sedunia 2020: Tantangan Mengajar di Masa Pandemi Covid-19,Negatif
21,Kompas.com,Wapres: Dosen Harus Keluar dari Gaya Konvensional dalam Pembelajaran Daring,Negatif
22,Kompas.com,Wapres: Baru Ada 20 dari 4.741 Perguruan Tinggi yang Terapkan Belajar Daring,Negatif
23,Kompas.com,UI Tetap Berlakukan Pembelajaran Jarak Jauh pada Tahun Ajaran Baru,Positif
24,Kompas.com,Pakar UGM: Ini Kendala Utama Pembelajaran Daring di DIY,Negatif
25,Kompas.com,Cerita Seru Siswa SLB di Jabar Saat Ikut PJJ,Positif
26,Kompas.com,"Khofifah Khawatir Kualitas Pembelajaran Daring untuk Anak, Ini Alasannya",Negatif
27,Kompas.com,Seperti Ini Kunci Pembelajaran di Rumah bagi Anak TK,Positif
28,Kompas.com,Menggali Sisi Positif Kuliah Daring,Positif
29,Kompas.com,Mengintip Cara Anak SD di Desa 'Miskin Jaringan Internet' Saat Pembelajaran Daring,Negatif
30,Kompas.com,"KSP Analisis Kendala Pembelajaran Daring, Hasilnya?",Negatif
31,Kompas.com,"Di Gunungkidul, SD  Wonolagi dengan 13 Murid Tetap Belajar Daring Saat Pandemi",Positif
32,Kompas.com,"Kisah SD dengan Murid 13 Orang, Tetap Laksanakan Pembelajaran Daring di Masa Pandemi",Positif
33,Kompas.com,3 Peran Orangtua Dampingi Anak Ikut Pembelajaran Daring,Positif
34,Kompas.com,"Tingkatkan Efektivitas Belajar dari Rumah, Kelas Pintar Sajikan ""Sekolah"" Virtual",Positif
35,Kompas.com,"Libatkan Anak Dalam Pekerjaan Rumah Tangga, Ini Manfaatnya",Positif
36,Kompas.com,"Di Masa Pandemi, Orangtua Berperan dalam Pendidikan Karakter Anak",Positif
37,Kompas.com,"Menakar Peluang Pembelajaran Daring Efektif Masuki Era ""New Normal"" Pendidikan",Positif
38,Kompas.com,Kemendikbud Siapkan Pelatihan Pembelajaran Daring untuk 100.000 Dosen,Positif
39,Kompas.com,Panduan Pembelajaran di Masa Covid-19 Dinilai Belum Sentuh Masalah Kualitas Belajar,Negatif
40,Kompas.com,Pembelajaran Daring dan Biaya Jadi Tantangan Pendidikan Tinggi Pascapandemi,Negatif
41,Kompas.com,"Kisah Izzan saat Pembelajaran Daring, Guru Pesantren jadi Sosok Ibu...",Negatif
42,Kompas.com,"Guru, Ini Pedoman Pelaksanaan Belajar dari Rumah Selama Covid-19",Positif
43,Kompas.com,Dirjen GTK: Melek Teknologi adalah Hikmah Covid-19,Positif
44,Kompas.com,Strategi Belajar dari Rumah Dengan dan Tanpa Internet di Tahun Ajaran Baru,Positif
45,Kompas.com,Kemdikbud: Guru Diimbau Tak Bebani Anak PAUD dan Orangtua dengan Tugas,Positif
46,Kompas.com,"""Codar"", agar Pembelajaran Daring Tidak Ambyar di Tengah Corona",Negatif
47,Kompas.com,"Akademisi UB: ""WFH"" Munculkan Tekanan Sosial Baru, Salah Satunya Stres",Negatif
48,Kompas.com,Covid-19 Bisa Jadi Momentum Tingkatkan Kemampuan Pembelajaran Daring,Positif
49,Kompas.com,Akademisi UB: Profesi Guru Tak Bisa Diganti Teknologi di Masa Covid-19,Negatif
50,Kompas.com,"Perkuat Kompetensi Guru, Eduversal Gelar Webinar Mengajar Daring di Hari Pendidikan",Positif
