Desa,Balita,Anak-Anak,Remaja Awal,Remaja Akhir,Dewasa Awal,Dewasa Akhir,Lansia Awal,Lansia Akhir,Manula Atas,Jumlah KK,laki-laki,perempuan
Mlajah,934,1108,1919,807,1643,1892,1274,847,339,3023,5265,5498
Kemayoran,524,706,1255,586,1076,1144,893,613,372,2084,3511,3658
Pangeranan,752,924,1766,876,1725,1581,1362,1055,584,321,5218,5407
Demangan,528,643,1128,516,1106,1130,878,699,474,218,3508,3594
Kraton,609,794,1518,718,1366,1509,1164,891,501,274,4379,4691
Pejagan,1333,165,3210,1478,2985,2918,2229,1680,1033,5564,9193,9323
Bancaran,829,1018,1850,998,1866,1760,1452,991,545,332,5652,5657
Sembilangan,85,103,189,113,191,159,157,123,85,374,579,626
Ujung Piring,154,184,295,135,315,269,190,172,100,547,919,895
Keramat,199,287,460,274,427,382,334,280,164,800,1382,1425
Martajasah,133,190,228,118,311,268,188,169,66,515,833,838
Sabiyan,235,256,412,229,486,444,350,242,159,832,1394,1419
Gebang,254,270,540,250,510,491,385,286,139,926,1567,1558
