Desa,Balita,Anak-Anak,Remaja Awal,Remaja Akhir,Dewasa Awal,Dewasa Akhir,Lansia Awal,Lansia Akhir,Manula Atas,Jumlah KK,laki-laki,perempuan
KAMAL,409,595,1507,748,1045,1225,1227,717,461,2378,3866,4068
BANYUAJUH,838,118,2488,1179,1990,2325,2075,1493,1140,4563,7146,7562
GILI BARAT,126,181,311,128,334,299,306,200,87,616,985,987
GILI TIMUR,315,415,810,350,735,814,706,453,339,1483,2386,2551
GILI ANYAR,261,332,605,286,571,621,503,392,197,1155,1856,1912
TELANG,149,182,429,216,377,369,392,321,178,814,1283,1330
PENDABAH,217,374,682,311,698,715,551,374,288,1190,2038,2172
TAJUNGAN,177,249,483,214,484,374,297,242,127,746,1340,1307
KEBUN,217,344,741,366,598,766,640,462,265,1405,2168,2231
TANJUNG JATI,124,216,421,228,343,359,336,243,137,727,1158,1249
