Desa,Balita,Anak-Anak,Remaja Awal,Remaja Akhir,Dewasa Awal,Dewasa Akhir,Lansia Awal,Lansia Akhir,Manula Atas,Jumlah KK,laki-laki,perempuan
Pasanggrahan,348,433,898,472,850,829,743,498,324,1624,2629,2766
Kwanyar barat,263,357,741,379,652,767,584,373,198,1249,2174,2140
ketetang,266,391,735,382,647,689,499,383,240,1212,2135,2097
Dlemer,153,195,396,208,379,373,310,231,161,647,1207,1199
Morombuh,314,447,922,478,873,729,548,413,398,1322,2474,2648
Tebul,152,190,341,170,347,285,249,168,128,594,1026,1004
Karang Anyar,135,183,498,264,478,414,394,251,167,747,1341,1443
janteh,113,181,350,170,326,328,260,163,210,555,1036,1065
Sumur Koneng,314,337,771,401,819,794,571,386,418,1215,2376,2435
Paoran,76,132,237,133,277,245,207,143,127,423,768,809
Karangentang,129,155,295,170,343,305,208,155,95,501,921,934
Batah Barat,134,212,480,305,449,449,499,353,159,888,1482,1558
Batah Timur,165,255,579,331,552,549,431,385,264,1000,1691,1820
Pandanan,91,100,242,139,254,238,147,106,78,377,674,721
Gunung Spereng,322,448,1037,527,1093,927,590,406,398,1411,2831,2917
Duwek Buter,128,164,341,252,403,346,271,209,287,669,1176,1225
