Desa,Balita,Anak-Anak,Remaja Awal,Remaja Akhir,Dewasa Awal,Dewasa Akhir,Lansia Awal,Lansia Akhir,Manula Atas,Jumlah KK,laki-laki,perempuan
KESEK,205,280,553,274,479,521,464,320,245,1043,1613,1728
LABANG,152,243,444,201,397,444,316,187,153,763,1232,1305
JUKONG,139,268,463,258,498,469,493,354,292,918,1554,1680
PANGPONG,186,261,527,298,462,458,432,274,193,913,1508,1583
SUKOLILO TIMUR,202,255,493,293,523,430,358,236,196,868,1467,1519
SUKOLILO BARAT,446,590,1190,633,1109,1083,917,672,417,2063,3497,3560
BRINGEN,130,203,380,215,420,356,332,251,256,736,1207,1336
BA'ENGAS,253,374,695,340,697,637,453,317,194,1131,1962,1998
BUNAJIH,140,166,292,184,382,311,244,205,164,593,1046,1042
SENDANG LAOK,69,117,222,121,258,254,219,155,88,450,743,760
SENDANG DAJAH,138,192,449,218,483,425,355,207,169,640,1305,1331
PETAPAN,130,165,417,195,353,330,251,168,149,608,1075,1083
MORKEPEK,104,146,331,161,275,310,230,132,121,497,891,919
