Desa,Balita,Anak-Anak,Remaja Awal,Remaja Akhir,Dewasa Awal,Dewasa Akhir,Lansia Awal,Lansia Akhir,Manula Atas,Jumlah KK,laki-laki,perempuan
Tanah Merah Dajah,289,387,770,411,774,797,574,372,295,1296,2337,2332
Tanah Merah Laok,406,588,1135,608,1202,996,769,481,420,1770,3252,3353
Petrah,192,276,553,280,558,580,388,311,250,982,1642,1746
Jangkar,239,406,877,498,947,949,659,503,348,1500,2695,2731
Pettong,185,232,462,289,538,464,420,240,181,801,1492,1519
Kendaban,73,100,187,91,188,230,150,104,69,346,569,623
Dumajah,309,453,866,441,852,695,513,397,358,1344,2361,2523
Pacentan,255,370,730,383,719,629,400,321,359,1079,2062,2104
Baipajung,262,453,1045,482,944,811,653,465,418,1469,2696,2837
Tlamor,102,180,406,232,472,416,304,273,230,640,1305,1310
Rongdurin,119,138,285,204,322,300,268,173,164,595,952,1021
Landak,87,165,324,171,344,298,204,163,106,528,956,906
Basanai,59,61,134,69,148,130,94,59,51,227,411,394
Poter,198,261,565,272,590,484,371,232,165,883,1528,1610
Patemon,50,76,157,67,156,142,99,60,47,247,437,417
Dlambah Dajah,218,341,794,449,813,494,431,390,292,1112,2075,2147
Dlambah Laok,82,148,322,160,292,291,236,168,102,490,910,891
Mrecah,149,209,439,258,537,426,295,246,161,741,1329,1391
Buddan,192,270,571,317,665,443,361,260,227,937,1634,1672
Batangan,296,456,957,579,981,715,592,345,322,1371,2569,2674
Padurungan,125,147,282,175,337,277,225,135,121,479,910,914
Pangeleyan,50,70,110,57,108,116,64,49,29,181,315,338
Kranggan Barat,136,185,401,200,477,478,300,229,163,660,1272,1297
