,,,,,
No,Kecamatan,Pra Usia Lanjut (45-59 tahun),Usia Lanjut (>60 tahun),Usia Lanjut Tidak Produktif (>65 tahun),Usia Lanjut Resiko Tinggi (>70 Tahun)
1,Karang Pilang,15177,3643,2532,2380
2,Wonocolo,16168,3514,2769,3351
3,Rungkut,24222,5465,3743,4072
4,Wonokromo,35052,7039,4894,6790
5,Tegalsari,20383,4934,3550,4391
6,Sawahan,42357,9084,6655,8748
7,Genteng,11619,2935,2421,3456
8,Gubeng,29658,6578,5032,7457
9,Sukolilo,21981,5230,3916,4575
10,Tambaksari,46099,10749,7995,9255
11,Simokerto,18123,4148,3191,4454
12,Pabean Cantian,14330,3204,2570,3476
13,Bubutan,20101,4338,3135,4281
14,Tandes,17709,3884,3457,3781
15,Krembangan,22620,4900,3507,4482
16,Semampir,32309,3682,2790,3439
17,Kenjeran,31878,6471,4140,3624
18,Lakarsantri,12440,2529,1638,1970
19,Benowo,14299,2664,1646,1440
20,Wiyung,15409,3428,2348,2404
21,Dukuh Pakis,11645,2716,2260,14312
22,Gayungan,9152,1975,1470,1920
23,Jambangan,10669,2330,1759,1722
24,Tenggilis Mejoyo,10947,2710,2087,2313
25,Gunung Anyar,12410,2466,1847,1961
26,Mulyorejo,17223,3927,3271,2282
27,Sukomanunggal,19686,4843,3762,4069
28,Asem Rowo,8386,1660,1121,1065
29,Bulak,8955,1681,1127,1412
30,Pakal,12399,2188,1545,1412
31,Sambikerep,13184,2708,2134,2276
