,Steaming,Label
0,pantai luas pasir putih bersih jalan jalan kuda orang bayar ribu beli rujak ribu pop mie ribu,positif
1,pantai pasir putih sumenep gazebo cocok wisata keluarga pekan sewa kuda jual makan fasilitas toilet kamar mandi,positif
2,lokasi bagus pantai luassss spot khas pohon cemaraa buanyaakkkkkkkk rindang sedia kamar mandi bersih kantin harga jangkau main,positif
3,bagus tingkat bersih orng disnaa ramah jual mkananya sewa kuda ramah banget sejuk banget pantai lombang samapi tidur hehehe,positif
4,pantai cantik bagus pohon cemara udang,positif
5,klapa ijo mantap murah ramah parkir rapi tunggul pohon adem bersih,positif
6,tiket masuk orang parkir mobil pantai bersih luas weekday lumayan sepi kuda gazebo duduk santai,positif
7,pantai indah atas ekspektasi pantai bersih ramai puas nikmat view laut pohon cemara neduh aman panas ngebayangin madura,positif
8,asli bintang kasih bonus kenang lupa tiket masuk orang parkir mobil kuda orang naik orang duduk gazebo,positif
9,nganjuk jawa timur pantai pantai oke bagus fasilitas jalan lokasi bagus,campuran
10,matahari benam terbit condong utara ombak tenang tengah,positif
11,pantai kotor bungkus makan instan popmie lain terap buang sampah semberangan minim unjung enak buang sampah pinggir pantai,negatif
12,pantai ujung timur pulau madura ditumbuhin ribu cemara laut indah hampar pasir putih lembut jadi pantai layak jadi destinasi,positif
13,pantai bagus ombak wahana main kuda sewa pendopo jajan tetep jaga bersih iya,positif
14,pantai indah moga management pantai,positif
15,pantai bilang bersih kunjung tengah minggu ramai nyaman kumpul keluarga,positif
16,kondisi pantai lumayan bersih santa awat area main anak jual makan harga jangkau saran coba rujak sana,positif
17,jalan wisata bagus mulus lalu lancar pantai awat bersih now watching main pasir anak cocok harga tiket masuk pas weekend org kena rb wc nya bersih pantai cocok piknik pohon pinus adem,positif
18,pantai lokasi ujung timur pulang madura tepat kabupaten sumenep kota sumenep arah timur daya pantai indah hampar pasir putih,positif
19,bagus foto kuda makan pinggir pantai,positif
20,kota jalan jam an jalan kesana bagus lubang pantai luas bersih fasilitas,positif
21,lombang salah wisata kenal sumenep standar pantai gazebo duduk unjung lumayan pilih makan jual baju anak,positif
22,pantai lombang kenal salah destinasi wisata pulau madura hampar pasir pantai luas lumayan bersih pohon cemara keliling pantai,positif
23,hutan cemara udang bikin sejuk rindang panas matahari terik terik siang,positif
24,pantai bagus ombak cocok main anak fasilitas tunjang awat jalan rusak kamar mandi awat musholla wushu air mati,campuran
25,woooww pantai kuta bal ombak surfing,campuran
26,pantai bersih ombak cenderung tenang saran season hindar padat unjung pohon cemara sewa kuda jalan jalan pinggir pantai kedai kedai jual,positif
27,bagus sih pantai sayang jalan lokasi rusak sampah sera kayak awat gitu moga depan kelola baik salah opsi wisata sumenep,campuran
28,pantai bagus awat kurang fasilitas,campuran
29,suasana laut tenang hampar pasir putih hijau pohon cemara udang aman anak mandi,positif
30,pantai indah rekreasi warga kota sumenep pantai bersih jajah kuda pohon cemara udang jual bonsai cemara udang indah bawa pulang,positif
31,destinasi wajib kunjung sumenep,positif
32,pantai pantai slopeng pantai asri sejuk nyaman hampar pasir putih pesona suara kicau burung angin laut milir ombak tarik pohon cemara udang indah,positif
33,bagus lumayan bersih air bersih parkir,positif
34,pantai bersih bebas sampah sayang akses jalan pantai rusakk pada kesasar wktu pkek google maps,campuran
35,jam sepiii lihat sunrise subhanallah kereeennn pantai luas cocok anak,positif
36,salah pantai indah sumenep madura kuda pantau dg bayar ribu karcis lumayan murah ribu,positif
37,puas banget main pantai lombang pasir putih pandang bagus gak kalah bal makan murah enak tempat kotor wajar sepi kamar mandi udh bersih gak bau now watching bilas nyaman,positif
38,pantai ombak sahabat cocok anak hutan cemara udang lestari baget jamin gk panas deh,positif
39,pantai bagus rindang cemara udang khas bak pantai yogyakarta destinasi wisata bagus madura pantai madura pantai lombang harap pemkab kelola,positif
40,pantai lombang letak sumenep pulau madura timur kali pantai lombang muas keliling pohon cemara pasir putih lembut suka spot foto pohon cemara,positif
41,kesini pas pagi banget warung warung buka senang pantai nya sepi asa private beach,positif
42,pantai nya bersih bagus kunjung wisatawan pulau pantai silah libur pantai lembang,positif
43,bersih makan nyaman akses masuk baik jalan,positif
44,pantai bersih pasir lembut tuk bejemur badan,positif
45,pantai bersih puas,positif
46,air bersih banget sayang pasir sampah,campuran
47,suka banget panorama pantai fasiltas lengkap nyaman,positif
48,cocok libur keluarga murah riah suasana tenang indah pohon cemara sejuk mata,positif
49,surga sembunyi pulau madura pasir putih nya baik,positif
50,pantai lombang tutup haduch eman banget,negatif
51,nyaman tadabur alam pantai luas pasir putih halus,positif
52,beda tahun indah,positif
53,pantai cemara udang indah nyaman susur pantai kuda air degan hijau hapus dahaga,positif
54,pantai cemara udang main air kuda,positif
55,bersih pasir putih salah pantai patut kunjung sedia fasilitas dukung mumpuni,positif
56,pantai luas dg pasir putih lengkap dg kuda pas bareng acara tradisi budaya nya ruame nikmat pantai,positif
57,salah destinasi wisata pantai kabupaten sumenep butuh menit kota sumenep pantai spesial pohon cemara tumbuh garis pantai,positif
58,jalan masuk baik iya toilet sulit cari toilet pas sore,negatif
59,pantai indah pasir coklat emas rindang pohon cemara,positif
60,pantai bersih cocok santai kuda tepi pantai,positif
61,pasir putih halus pohon cemara udang rindang pantai lombang pas libur ajar,positif
62,salah pantai keren sumenep madura pantai lombang identik ribu hampar cemara udang pinggir pantai unjung teduh kalah indah pasir putih halus pantai rekomended mandi ombak gelombang tenang,positif
63,salah destinasi wisata pantai pulau madura tumbuh tanam cemara udang,positif
64,wao aku anak milenial singgah tempat keren abiz kece trendy spot ftonya murni alam bersih tarik so wisatawan mampir menu makan dagang kaki,positif
65,biasaa kereeennnn pasir putih lembut bangeettt pandang sungguh sejuk mata,positif
66,sayang sampah bekas pampers plastik lain akses masuk jelek tata sayang,negatif
67,pantai tawar indah alami,positif
68,kali ngetrip sanah buka hlem langsung bengong indah pantai pasir putih nya lembut tempat bersih hibur kuda tarif relatif murah,positif
69,tempat bagus sayang kesana hujan ga reda banjir,campuran
70,lumayan toilet portable kotor awat toilet bagus moga bangun renovasi tambah toilet permanent cepat selesai bagus,campuran
71,tarik bagus ambil foto sunsidenya indah,positif
72,pantai bersih,positif
73,bagus tentram damai duduk ramah murah,positif
74,seru lokasi santai keluarga mantap,positif
75,salah pantai hampar pasir luas asri,positif
76,fasilitas pantai lumayan toilet warung musolla lupa unk coba kuda spnjang pinggir pantai,positif
77,pantai dg pasir luas pagar pohon cemara udang luas,positif
78,pantai lombang pantai khas madura orang kesini libur lebaran jajan bakso rujak pentol jenis mie mie,positif
79,pantai bersih sampah jalur pantai suguh pandang pohon bonsai cemara udang pandang pantai pulau jawa bagus ombak aman main,positif
80,pantai keren ujung pulau madura pasir putih bersih air jernih,positif
81,bagus cuman baik moga cepat selesai,campuran
82,lumayan tuk ngilangin kangen pantai,positif
83,akses mudah cocok cinta pohon cemara,positif
84,pantai exotic ombak sahabat anggota keluarga,positif
85,pantai bagus bersih harga makan minum murah,positif
86,pantai indah serta pohon cemara rimbun,positif
87,penuh pohon cemara has pantai lombang berita pohon cemara tumbuh ambil tanah,positif
88,pantai bersih dg pasir putih pandang indah dg pagar cemara udang teduh pesona,positif
89,ombak landai cocok wisata,positif
90,pantai lombang indah sore,positif
91,pantai pohon cemara udang,positif
92,nyaman lepas lelah libur keluarga,positif
93,bagus awat,campuran
94,suka banget pandang pohon cemara sewa kuda,positif
95,pasir putih salur air pantai bersih awat pdhal kena tiket masuk lumayan bangun fasilitas,campuran
96,kesana bagus pengin kesana,positif
97,pantai enak kunjung,positif
98,pandang pantai pesona hias pohon cemara bibir pantai,positif
99,lumayan istirahat pas renovasi tempat,positif
100,suasana kondisi pantai sesuai tiket masuk,negatif
101,lokasi jorok kotor ekor kuda foto foto unjung,negatif
102,pantai nya bersih sayang awat gazebo nya bocor genteng lepas,campuran
103,garis pantai luas ombak tenang pohon cemara,positif
104,pasir putih banget lembutttt,positif
105,jalan pantai bagus kota sumenep jalan akses masuk rusak parah ranting pohon cemara udang pangkas bawa bus ekstra hati hati kamar mandi musholla lebar wahana main anak ramah lingkung,campuran
106,pantai panjang pasir putih sumenep madura,positif
107,pantai bagus bersih sepi jarak kota sumenep ujung timur laut pulau madura ombak pandang indah,positif
108,biaya tiket murah dagang sana mudah lapar haus bawa bekal bersih jaga bungkus makan ringan sera pantai pantai parkir capek jalan parkir pantai,campuran
109,suasana tenang murah pasir bagus relaksasi bibir pantai pohon cemara udang indaah mobil bus mini bus masuk parkir pantai tiket rb libur rb sd rb,positif
110,pantai datar air toilet kmr mandi sedia air tawar minum favorit kelapa muda obat kopyor parkir teduh tiket masuk parkir minibus,positif
111,pantai alami enak libur keluarga asyik sana kuda jadi tumpang atas pasir putih pohon cemara bikin suasana pinggir pantai sejuk lebih sendiri pantai lombang,positif
112,tempat nyaman enak kumpul keluarga betah,positif
113,pantai bagus,positif
114,bersih suasana tenang suka event,positif
115,pantai bersih bagus,positif
116,bersih spot foto suka rindang sih makan jual,positif
117,tempat bagus wisata sejuk gitu loh unjung ramai,positif
118,spot pantai lumayan gate masuk jual makan moga bersih lingkung pantai tingkat unjung,positif
119,pantai luas panjaaang nyaman landai ombak banget renang bocah nyaman landai makan relatif murah toilet upgrade,positif
120,cantik cuaca dukung,positif
121,sepi sampah,negatif
122,cocok libur keluarga,positif
123,pasir halus cocok cinta bonsai khusus cemara udang,positif
124,pantai nya indah lihat review nya channel yutub positive vibes indonesia,positif
125,bagus orang main bola sore pantai nikmat,campuran
126,pantai keren trus view nya lumayan bagus ombak ngeri jngn,positif
127,potensi alam november kesini ganggu bau limbah tambak buat udang air bekas tambak buang lokasi wisata perintah daerah sumenep abai kondisi aset wisata besar rusak payah,negatif
128,senang turing keee,positif
129,pantai lombang sumenep indah,positif
130,pantai bagus kelola,campuran
131,momentnya cantik banget sore sore kesini,positif
132,pasir bersih lumayan panas tolong pohon cemara udang rindang sayang fasilitas kamar mandi kotor kadang air,campuran
133,wlo pasir gk putih coklat lembut gk kwartir jk jatuh pantai hampar dg ombak gk tetrllu dg pandang cemara udang eksotis,positif
134,tempat bagus bersih pasir putih sewa kuda tiket masuk pantai,positif
135,tarik kunjung sejuk cocok libur dg teman keluarga mudah cari makan fasilitas lengkap warung jasa foto kuda,positif
136,indah teduh fasilitas lengkap recommended,positif
137,pantai penasaran indah pantai lombang nikmat kenang indah,positif
138,pantai bagus jalan,positif
139,pantai indah sayang sampah,campuran
140,sayang tambak udang pt dsn,negatif
141,madura gak lengkap main pantai pasir putih disepanjng pantai bnyak pohon cemara rindang sejuk pokok gak nyesel dtang main pantai lombang,positif
142,pantai bagus pas wisata bareng keluarga,positif
143,pandang bagus sayang inap,campuran
144,pantai indah pasir putih bentang pagar pohon cemara pantai alami top pantai bersih pokok nya cantik banget,positif
145,indah nama elok tempat harap injak keluarga ku kelak,positif
146,pantai bagus kota sumenep cemaraa warung rujak langgan mantap es degan,positif
147,baik pasir cm tata sayang sebenernya potensi wisata bengkalai baik dikit,campuran
148,pandang nan elok toilet dukung,campuran
149,indah tiada beli,positif
150,pandang indah pesona,positif
151,tempat bagus banget,positif
152,hampar pasir putih luas serta pohon cemara udang indahh cocok santa,positif
153,pantai bagus gugus landai fasilitas pada mes kelola maksimal,positif
154,bagus pantai,positif
155,tahan ramah sana jaga jual,positif
156,destinasi bagus,positif
157,aman nyaman kemah pleton air jernih warga ramah,positif
158,mantap suananya,positif
159,nyaman nikmat udara sepi jual indah,campuran
160,pantai enak libur keluarga hampar pasir luas banget,positif
161,lombang pantai maju,positif
162,pantai legendaris kabupaten sumenep,positif
163,bagus nyantai,positif
164,x pantai tutup beri informasi publik pamekasan buat website resmi informasi informasi baru,negatif
165,pantai lombang pantai indah milik bibir pantai suasana alam enak,positif
166,bagus banget surabaya,positif
167,wisata pantai sejuk rindang penuh cemara,positif
168,pantai lombang bagus,positif
169,pandang bagus cocok libur keluarga teman,positif
170,bagus pantai sewa kuda sayang sewa kuda mahal,campuran
171,sih kota bagus lihat sunset pasir bagus cocok wisata keluarga,positif
172,pandang pantai bagus indah pohon cemara udang asri bersih pantai,positif
173,rugi blom nikmat lombang beach indah banget pantai,positif
174,tepi pantai full cemara udang adeem pantai bersih pasir warna coklat muda,positif
175,nyaman bersih jaga sampah sera sampah plastik,negatif
176,saran spot foto tingkat lagi fasilitas nya jugaa,negatif
177,pantai indah tahun kesana toilet kotor susah air,campuran
178,fasilitas toilet dr perintah sedia,negatif
179,luas sejuk senang,positif
180,foto bagus sampah jelek,negatif
181,pantai asik refreshing tubuh bersiin pinggir pantai,positif
182,kasih umum tutup kecewa,negatif
183,tingkat aroma sedap kencing kuda ganggu asyik,campuran
184,pantai sanggat indah anginya bikin sejuk pohon cemaranyaa,positif
185,pantai lombang teduh pohon cemara jamin betah lama pantai,positif
186,bagus bersih ciri khas pohon cemara,positif
187,pantai bagus banget,positif
188,ramai libur lebaran,positif
189,pantai pasir putih tumbuh pohon cemara udang keliling oke,positif
190,tempat bagus,positif
191,pandemi covid pantai tutup,negatif
192,bersih,negatif
193,rekreasi cocok,positif
194,mantap,positif
195,wisata bagus daerah kabupaten sumenep,positif
196,pantai indah lambang wisata ujung timur pulau madura,positif
197,pasir putih kuta bal sayang fasilitas bagus lombanng drpd kuta bal,positif
198,mantul cuy jalan masuk gerbang tiket pantai kenpa asli palsu iya,campuran
199,wihhh pantai indahh tebar cemara udang persis negri dongeng,positif
200,lokasi wisata sampah sera,campuran
201,bagus banget dingin tempat,positif
202,wisata cocok wisatawan lokal mancanegara,positif
203,istimewa,positif
204,wisata pantai pantura ujung timur madura,positif
205,bersih pantai weekdays sepi ramenya weekend,positif
206,rekomendasi kunjung,positif
207,tempat bagus pandang cantik banget,positif
208,mantab bngt tiada dua,positif
209,keren banget pantai,positif
210,tempat asyik,positif
211,bagus pantai,positif
212,enak anak anak,positif
213,banyak sampah kotor kuda,negatif
214,bersih turun awat,negatif
215,coba inap unjung kota asik,campuran
216,pantai pasir lembut cemara udang bikin teduh ombak,positif
217,pantai supermantap tingkat bersih,campuran
218,pantai lombang tarik patut kunjung,positif
219,pulang magrip gelap terang mohon perhati,negatif
220,tempat bagus sore,positif
221,sampah padah jaga bersih,negatif
222,pantai pasir putih ujung pulau madura tepat ujung sumenep,positif
223,bagus indah khusus weekend dagang,positif
224,pantai sejuk nyaman,positif
225,mantab,positif
226,pantai bagus istirahat nyaman bersih,positif
227,tunggang kuda tepi pantai,positif
228,pantai sejuk hutan cemara udang,positif
229,destinasi fav keluarga tahun,positif
230,pasir putih jaga asli pantai,positif
231,cantik,positif
232,sejuk enak,positif
233,pasir putih jejer,positif
234,mantap bagus,positif
235,mantab bagus,positif
236,pantai indah pesona,positif
237,informasi pantai buka,negatif
238,pasir putih bagus masyarakat skitar ramah,positif
239,fasilitas bagus,positif
240,pantai buka informasi,negatif
241,parkir luas,positif
242,termakuk salah pantai favorit,positif
243,kelola cenderung awat,negatif
244,unik indah hilang penat kota,positif
245,bagus,positif
246,keren tempat pantai luas,positif
247,pantai bagus asri kalah kuta bal,positif
248,bagus,positif
249,ken ajak anak adakan lomba,positif
